faster-rcnn-pc-pic1,faster-rcnn-pc-pic2,faster-rcnn-pc-1000-pic3,yolov8n-pc-pic1,yolov8n-pc-pic2,yolov8n-pc-pic3,yolov5-pic1,yolov5-pic2,yolov5-pic3,yolov8n-pic1,yolov8n-pic2,yolov8n-pic3,yolov8n-gray-pic1,yolov8n-gray-pic2,yolov8n-gray-pic3,yolov8n-sparsified-pic1,yolov8n-sparsified-pic2,yolov8n-sparsified-pic3
2.717614412,2.152824879,2.318130732,0.01318121,0.007887602,0.006594896,1.381062508,1.628568649,1.467731476,0.97886014,1.102994919,0.971051216,0.818798065,0.947214603,0.93330121,0.381949663,0.383867979,0.384364367
2.794681072,2.13732934,2.248241901,0.013286114,0.006813526,0.009747267,1.425206661,1.654947281,1.495344639,1.020022869,1.047662973,1.008317947,0.848812103,0.936736822,0.970268726,0.390995502,0.39343667,0.391495466
2.929427862,2.217952967,2.334954262,0.018275023,0.003015995,0.007157564,1.45058012,1.67282486,1.489253521,0.88153553,1.065903425,0.998157501,0.861612558,0.930239916,0.91216588,0.381441116,0.395926237,0.388525009
2.785656929,2.144619942,2.324216843,0.014690638,0,0,1.402909994,1.647437811,1.501229048,0.874544621,1.100734472,1.014256477,0.807060719,1.306904316,0.956395388,0.384474277,0.372891665,0.386336565
2.867235661,2.17832303,2.322526932,0.01413846,0.015657663,0.016420126,1.407741547,1.64537549,1.489331245,0.892617702,1.08085537,0.93701005,0.807048798,0.971460104,0.914584637,0.38598752,0.381534576,0.383416414
2.773646355,2.139592409,2.273665905,0.012054205,0,0,1.459335566,1.662926435,1.480579376,0.883125782,1.073953867,1.012542486,0.903348207,0.939549685,0.89639616,0.401129723,0.389654636,0.388041496
2.846773386,2.107386827,2.264215708,0.012736559,0.015624762,0,1.409140825,1.645781994,1.497014523,0.870196819,1.057819605,0.946049213,0.865470648,0.947024822,0.878066301,0.434043646,0.381765366,0.382952929
2.721394777,2.099658251,2.255706072,0.012083292,0,0.016086817,1.413858414,1.658601046,1.492067099,0.981542587,1.213233948,0.95979476,0.878139257,0.951187372,0.948401928,0.380920172,0.381770611,0.384839773
2.918843746,2.123024225,2.262772083,0.018036604,0.015624285,0,1.407109499,1.643045187,1.500619173,0.862705946,1.093650103,0.995281696,0.872410059,0.935686588,0.921747923,0.383858204,0.380981684,0.381328583
2.822640419,2.095948696,2.177299261,0.013082981,0,0.015003443,1.450114965,1.64909029,1.498500586,0.919975281,1.091585398,0.955806017,0.831104279,1.00080657,1.063488245,0.396453381,0.391086817,0.388249159
2.846879005,2.112020254,2.242093086,0.01887393,0,0.015629768,1.408490896,1.63220787,1.498025417,0.923027754,1.099223852,0.975246906,0.928603172,1.006057501,0.891264915,0.38024497,0.383990288,0.388582468
2.709702015,2.149003029,2.193241358,0.010560751,0.015625,0,1.431059599,1.639550447,1.483649731,0.858151197,1.031734705,0.970323324,0.827172041,1.006663084,0.903240919,0.381872177,0.383674383,0.398223162
2.902900219,2.162704945,2.233347178,0.012682915,0,0,1.457752943,1.598736048,1.480271816,0.908210516,1.084486008,0.967879057,0.82333231,1.240397692,0.903523922,0.381879807,0.381198645,0.388874054
2.768366575,2.189818859,2.204776049,0.016342163,0.019151449,0.020033121,1.417724609,1.756260872,1.498057604,0.971169472,1.049139261,0.954533815,0.827549458,1.082604408,0.911049128,0.392069578,0.393447399,0.387040615
2.822195292,2.192596436,2.301030159,0.013256311,0.004659891,0.007698059,1.41531539,2.125260115,1.485163212,0.889435768,1.073410511,1.039654016,0.871174574,0.933748722,0.933796167,0.38075614,0.383766413,0.380777597
2.691735268,2.142778397,2.236730814,0.011794329,0.009563923,0.006093025,1.393237829,1.64557147,1.501934767,0.922681808,1.081522942,0.935087681,0.839349985,0.928896189,0.9696908,0.380815744,0.400308371,0.381004333
2.70363903,2.101762533,2.528608799,0.01345253,0.007095337,0.006014585,1.470190525,1.620877743,1.499266624,0.819228888,1.080908298,1.022707939,0.901802063,0.95498991,0.924355507,0.381426573,0.389403105,0.379114151
2.674043417,2.109619379,2.297353268,0.010770798,0,0,1.405002594,1.629472256,1.574591398,0.93377471,1.074035883,1.019518852,0.830343962,0.947800398,0.929739952,0.39160943,0.385324001,0.390994072
2.753926039,2.108183146,2.387809038,0.018056631,0,0,1.403527737,1.665265322,1.500965834,0.960832834,1.121998072,0.987844944,0.849129438,0.955247164,0.93151021,0.394683838,0.385723829,0.380242109
