faster-rcnn-pc-1920x1080,faster-rcnn-pc-1280x720,faster-rcnn-pc-720x480,yolov8n-pc-1920x1080,yolov8n-pc-1280x720,yolov8n-pc-720x480,yolov5-1920x1080,yolov5-1280x720,yolov5-720x480,yolov8n-1920x1080,yolov8n-1280x720,yolov8n-720x480,yolov8n-gray-1920x1080,yolov8n-gray-1280x720,yolov8n-gray-720x480,yolov8n-sparsified-1920x1080,yolov8n-sparsified-1280x720,yolov8n-sparsified-720x480
0.129319906,0.133466244,0.124913692,0.020312548,0.009003878,0.008414507,3.197103977,1.334135532,1.543419361,0.845206022,0.839972496,0.993709087,0.812360287,0.821642876,0.998729706,0.386672258,0.383200169,0.383325815
0.125627995,0.130186319,0.132168293,0.007969141,0,0.00609374,2.623579264,1.34449029,1.549614668,0.84036088,0.813160181,0.992286205,0.775701523,0.800547838,0.978252649,0.387215376,0.383905172,0.381839514
0.126564026,0.113456011,0.120698214,0.008387089,0,0.006529331,1.679691315,1.332782984,1.529823542,0.818291187,0.89662528,0.97922802,0.84920764,0.829549313,0.946962118,0.386270285,0.38405776,0.383375406
0.130293846,0.137724161,0.13359046,0.00208807,0.015630722,0.009612083,1.40329957,1.352858305,1.535419464,0.836283445,0.816213846,0.940103292,0.840278149,0.795180321,0.980911732,0.402573824,0.396509647,0.392459631
0.133652449,0.128792763,0.1168468,0,0,0.015741825,1.432202339,1.326881647,1.537453651,0.875517368,0.927367926,0.955673218,0.787412167,0.832532883,1.002895594,0.386611462,0.394753218,0.384295464
0.136394739,0.128516674,0.122159958,0.023423433,0.016593933,0,1.435818672,1.332749844,1.547688484,0.905840158,0.87941885,1.011920452,0.798986673,0.826045513,0.97863102,0.387028933,0.394456148,0.382879496
0.11717391,0.127113342,0.130277395,0.009451866,0.005006075,0.015613556,1.414737225,1.349387646,1.533815861,0.941981077,0.817414761,1.000173569,0.781035662,0.768205643,0.961094856,0.393712044,0.383579493,0.383419991
0.133624077,0.119611263,0.120168686,0.011168957,0.010297537,0.008108377,1.439985037,1.31624651,1.55171895,0.860193729,0.835623026,0.988587141,0.805612803,0.786719084,0.937552691,0.38894701,0.396295547,0.406903028
0.137274981,0.133144855,0.124392748,0.009382725,0.007153988,0.008099318,1.403113365,1.351521492,1.513422012,0.850296497,0.811338663,1.046825886,0.850393534,0.795825243,0.93581605,0.399503231,0.383553982,0.380572557
0.119124413,0.116008282,0.130453587,0.001101017,0.015632391,0,1.427069902,1.355384111,1.536069632,0.919056654,0.928973913,0.994401932,0.808113813,0.786613226,0.9793787,0.383014441,0.383312225,0.381831646
